Country,Year,Population
Colombia,1990,33102575
Colombia,1991,33758337
Colombia,1992,34422569
Colombia,1993,35091275
Colombia,1994,35758979
Colombia,1995,36421438
Colombia,1996,37076387
Colombia,1997,37723800
Colombia,1998,38364309
Colombia,1999,38999471
Colombia,2000,39629968
Colombia,2001,40255967
Colombia,2002,40875360
Colombia,2003,41483869
Colombia,2004,42075955
Colombia,2005,42647723
Colombia,2006,43200897
Colombia,2007,43737516
Colombia,2008,44254975
Colombia,2009,44750054
Colombia,2010,45222700
Colombia,2011,45662748
Colombia,2012,46075718
Colombia,2013,46495493
Colombia,2014,46967696
Colombia,2015,47520667
Colombia,2016,48175052
Colombia,2017,48909839
Colombia,2018,49661048
Colombia,2019,50339443
Colombia,2020,50882891
Colombia,2021,51065532
Colombia,2022,51285273
Colombia,2023,51536408
Colombia,2024,51813075
Colombia,2025,52109216
Colombia,2026,52418538
Colombia,2027,52734575
Colombia,2028,53050789
Colombia,2029,53360805
Colombia,2030,53659000
Colombia,2031,53941227
Colombia,2032,54205321
Colombia,2033,54451433
Colombia,2034,54681260
Colombia,2035,54895989
Colombia,2036,55094674
Colombia,2037,55275908
Colombia,2038,55440069
Colombia,2039,55587908
Colombia,2040,55720014
Colombia,2041,55836513
Colombia,2042,55937364
Colombia,2043,56022916
Colombia,2044,56093569
Colombia,2045,56149708
Colombia,2046,56191616
Colombia,2047,56219567
Colombia,2048,56233925
Colombia,2049,56235078
Colombia,2050,56223383
Colombia,2051,56199127
Colombia,2052,56162576
Colombia,2053,56114067
Colombia,2054,56053921
Colombia,2055,55982460
Colombia,2056,55899967
Colombia,2057,55806626
Colombia,2058,55702520
Colombia,2059,55587653
Colombia,2060,55462080
Colombia,2061,55326013
Colombia,2062,55179734
Colombia,2063,55023432
Colombia,2064,54857379
Colombia,2065,54681817
Colombia,2066,54497021
Colombia,2067,54303311
Colombia,2068,54100954
Colombia,2069,53890234
Colombia,2070,53671515
Colombia,2071,53445145
Colombia,2072,53211576
Colombia,2073,52971238
Colombia,2074,52724613
Colombia,2075,52472211
Colombia,2076,52214446
Colombia,2077,51951878
Colombia,2078,51685210
Colombia,2079,51415229
Colombia,2080,51142661
Colombia,2081,50868023
Colombia,2082,50591779
Colombia,2083,50314487
Colombia,2084,50036682
Colombia,2085,49758872
Colombia,2086,49481453
Colombia,2087,49204803
Colombia,2088,48929329
Colombia,2089,48655466
Colombia,2090,48383544
Colombia,2091,48113800
Colombia,2092,47846379
Colombia,2093,47581360
Colombia,2094,47318770
Colombia,2095,47058589
Colombia,2096,46800787
Colombia,2097,46545309
Colombia,2098,46292083
Colombia,2099,46041001
Colombia,2100,45791954
Ecuador,1950,3470159
Ecuador,1951,3561079
Ecuador,1952,3654722
Ecuador,1953,3751595
Ecuador,1954,3852126
Ecuador,1955,3956620
Ecuador,1956,4065313
Ecuador,1957,4178344
Ecuador,1958,4295747
Ecuador,1959,4417535
Ecuador,1960,4543666
Ecuador,1961,4674172
Ecuador,1962,4809201
Ecuador,1963,4948986
Ecuador,1964,5093854
Ecuador,1965,5243977
Ecuador,1966,5399422
Ecuador,1967,5560012
Ecuador,1968,5725459
Ecuador,1969,5895367
Ecuador,1970,6069376
Ecuador,1971,6247418
Ecuador,1972,6429379
Ecuador,1973,6614843
Ecuador,1974,6803280
Ecuador,1975,6994334
Ecuador,1976,7187787
Ecuador,1977,7383724
Ecuador,1978,7582353
Ecuador,1979,7784072
Ecuador,1980,7989186
Ecuador,1981,8197652
Ecuador,1982,8409397
Ecuador,1983,8624594
Ecuador,1984,8843462
Ecuador,1985,9066109
Ecuador,1986,9292474
Ecuador,1987,9522360
Ecuador,1988,9755579
Ecuador,1989,9991870
Ecuador,1990,10230934
Ecuador,1991,10472475
Ecuador,1992,10716129
Ecuador,1993,10961466
Ecuador,1994,11208001
Ecuador,1995,11455204
Ecuador,1996,11703174
Ecuador,1997,11951452
Ecuador,1998,12198449
Ecuador,1999,12442115
Ecuador,2000,12681123
Ecuador,2001,12914667
Ecuador,2002,13143465
Ecuador,2003,13369678
Ecuador,2004,13596388
Ecuador,2005,13825847
Ecuador,2006,14059384
Ecuador,2007,14296557
Ecuador,2008,14535739
Ecuador,2009,14774424
Ecuador,2010,15011117
Ecuador,2011,15243884
Ecuador,2012,15474101
Ecuador,2013,15707474
Ecuador,2014,15951840
Ecuador,2015,16212020
Ecuador,2016,16491116
Ecuador,2017,16785361
Ecuador,2018,17084358
Ecuador,2019,17373662
Ecuador,2020,17643054
Ecuador,2021,17867834
Ecuador,2022,18095735
Ecuador,2023,18326224
Ecuador,2024,18558762
Ecuador,2025,18792831
Ecuador,2026,19027891
Ecuador,2027,19263387
Ecuador,2028,19498796
Ecuador,2029,19733578
Ecuador,2030,19967273
Ecuador,2031,20199506
Ecuador,2032,20430045
Ecuador,2033,20658786
Ecuador,2034,20885760
Ecuador,2035,21110966
Ecuador,2036,21334261
Ecuador,2037,21555507
Ecuador,2038,21774638
Ecuador,2039,21991635
Ecuador,2040,22206489
Ecuador,2041,22419152
Ecuador,2042,22629587
Ecuador,2043,22837868
Ecuador,2044,23044078
Ecuador,2045,23248270
Ecuador,2046,23450467
Ecuador,2047,23650659
Ecuador,2048,23848856
Ecuador,2049,24045037
Ecuador,2050,24239200
Ecuador,2051,24431378
Ecuador,2052,24621576
Ecuador,2053,24809805
Ecuador,2054,24996073
Ecuador,2055,25180390
Ecuador,2056,25362785
Ecuador,2057,25543273
Ecuador,2058,25721892
Ecuador,2059,25898645
Ecuador,2060,26073563
Ecuador,2061,26246677
Ecuador,2062,26418051
Ecuador,2063,26587723
Ecuador,2064,26755763
Ecuador,2065,26922230
Ecuador,2066,27087189
Ecuador,2067,27250720
Ecuador,2068,27412880
Ecuador,2069,27573780
Ecuador,2070,27733494
Ecuador,2071,27892114
Ecuador,2072,28049728
Ecuador,2073,28206441
Ecuador,2074,28362378
Ecuador,2075,28517637
Ecuador,2076,28672326
Ecuador,2077,28826530
Ecuador,2078,28980384
Ecuador,2079,29133992
Ecuador,2080,29287464
Ecuador,2081,29440891
Ecuador,2082,29594365
Ecuador,2083,29748004
Ecuador,2084,29901909
Ecuador,2085,30056182
Ecuador,2086,30210888
Ecuador,2087,30366091
Ecuador,2088,30521860
Ecuador,2089,30678252
Ecuador,2090,30835294
Ecuador,2091,30993043
Ecuador,2092,31151497
Ecuador,2093,31310684
Ecuador,2094,31470587
Ecuador,2095,31631190
Ecuador,2096,31792481
Ecuador,2097,31954438
Ecuador,2098,32117014
Ecuador,2099,32280186
Ecuador,2100,32443892
Guyana,1950,406559
Guyana,1951,418674
Guyana,1952,432818
Guyana,1953,448464
Guyana,1954,465172
Guyana,1955,482555
Guyana,1956,500324
Guyana,1957,518259
Guyana,1958,536218
Guyana,1959,554092
Guyana,1960,571819
Guyana,1961,589274
Guyana,1962,606285
Guyana,1963,622575
Guyana,1964,637845
Guyana,1965,651868
Guyana,1966,664521
Guyana,1967,675871
Guyana,1968,686146
Guyana,1969,695745
Guyana,1970,704934
Guyana,1971,713684
Guyana,1972,721948
Guyana,1973,729916
Guyana,1974,737847
Guyana,1975,745841
Guyana,1976,754101
Guyana,1977,762424
Guyana,1978,770125
Guyana,1979,776254
Guyana,1980,780153
Guyana,1981,781732
Guyana,1982,781246
Guyana,1983,778948
Guyana,1984,775219
Guyana,1985,770435
Guyana,1986,764446
Guyana,1987,757448
Guyana,1988,750639
Guyana,1989,745585
Guyana,1990,743309
Guyana,1991,744474
Guyana,1992,748602
Guyana,1993,754144
Guyana,1994,758896
Guyana,1995,761291
Guyana,1996,760795
Guyana,1997,757970
Guyana,1998,753778
Guyana,1999,749674
Guyana,2000,746715
Guyana,2001,745206
Guyana,2002,744789
Guyana,2003,745143
Guyana,2004,745737
Guyana,2005,746163
Guyana,2006,746343
Guyana,2007,746474
Guyana,2008,746817
Guyana,2009,747718
Guyana,2010,749436
Guyana,2011,752028
Guyana,2012,755399
Guyana,2013,759285
Guyana,2014,763380
Guyana,2015,767432
Guyana,2016,771368
Guyana,2017,775222
Guyana,2018,779006
Guyana,2019,782766
Guyana,2020,786552
Guyana,2021,790375
Guyana,2022,794415
Guyana,2023,798622
Guyana,2024,802944
Guyana,2025,807334
Guyana,2026,811731
Guyana,2027,816084
Guyana,2028,820337
Guyana,2029,824439
Guyana,2030,828341
Guyana,2031,832018
Guyana,2032,835461
Guyana,2033,838651
Guyana,2034,841617
Guyana,2035,844366
Guyana,2036,846901
Guyana,2037,849213
Guyana,2038,851308
Guyana,2039,853218
Guyana,2040,854934
Guyana,2041,856476
Guyana,2042,857857
Guyana,2043,859071
Guyana,2044,860141
Guyana,2045,861071
Guyana,2046,861882
Guyana,2047,862560
Guyana,2048,863131
Guyana,2049,863570
Guyana,2050,863915
Guyana,2051,864142
Guyana,2052,864268
Guyana,2053,864284
Guyana,2054,864198
Guyana,2055,864002
Guyana,2056,863704
Guyana,2057,863301
Guyana,2058,862789
Guyana,2059,862193
Guyana,2060,861493
Guyana,2061,860700
Guyana,2062,859802
Guyana,2063,858831
Guyana,2064,857752
Guyana,2065,856577
Guyana,2066,855325
Guyana,2067,853967
Guyana,2068,852518
Guyana,2069,850987
Guyana,2070,849351
Guyana,2071,847638
Guyana,2072,845832
Guyana,2073,843941
Guyana,2074,841970
Guyana,2075,839923
Guyana,2076,837805
Guyana,2077,835611
Guyana,2078,833353
Guyana,2079,831024
Guyana,2080,828630
Guyana,2081,826184
Guyana,2082,823666
Guyana,2083,821107
Guyana,2084,818491
Guyana,2085,815824
Guyana,2086,813118
Guyana,2087,810368
Guyana,2088,807569
Guyana,2089,804730
Guyana,2090,801846
Guyana,2091,798923
Guyana,2092,795963
Guyana,2093,792957
Guyana,2094,789935
Guyana,2095,786878
Guyana,2096,783791
Guyana,2097,780681
Guyana,2098,777550
Guyana,2099,774404
Guyana,2100,771226
Paraguay,1950,1473253
Paraguay,1951,1511848
Paraguay,1952,1550979
Paraguay,1953,1590861
Paraguay,1954,1631701
Paraguay,1955,1673665
